no_of_rooms,surface,no_of_bathrooms,partitioning,age,price,no_of_terraces,no_of_parking,user_id,city,county,title
2,70,1,Semidecomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 289
1,37,1,Decomandat,Nou,360,1,1,1,Cluj,Cluj-Napoca,Apartament 290
3,65,1,Semidecomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 291
4,91,2,Decomandat,Vechi,490,1,1,1,Cluj,Cluj-Napoca,Apartament 292
2,42,1,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 293
2,65,1,Semidecomandat,Vechi,450,1,1,1,Cluj,Cluj-Napoca,Apartament 294
2,56,1,Decomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 295
2,64,1,Decomandat,Vechi,450,1,1,1,Cluj,Cluj-Napoca,Apartament 296
3,75,2,Semidecomandat,Nou,830,1,2,1,Cluj,Cluj-Napoca,Apartament 297
2,56,1,Decomandat,Vechi,350,2,1,1,Cluj,Cluj-Napoca,Apartament 298
1,25,1,Semidecomandat,Vechi,200,1,0,1,Cluj,Cluj-Napoca,Apartament 299
2,60,1,Decomandat,Nou,500,1,1,1,Cluj,Cluj-Napoca,Apartament 300
3,75,2,Semidecomandat,Nou,700,2,2,1,Cluj,Cluj-Napoca,Apartament 301
3,78,2,Semidecomandat,Vechi,300,2,0,1,Cluj,Cluj-Napoca,Apartament 302
2,63,1,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 303
1,40,1,Decomandat,Nou,350,1,1,1,Cluj,Cluj-Napoca,Apartament 304
2,46,1,Decomandat,Nou,370,1,1,1,Cluj,Cluj-Napoca,Apartament 305
2,30,1,Semidecomandat,Nou,220,1,0,1,Cluj,Cluj-Napoca,Apartament 306
2,53,1,Semidecomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 307
2,50,1,Semidecomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 308
2,73,1,Semidecomandat,Nou,550,2,1,1,Cluj,Cluj-Napoca,Apartament 309
2,60,1,Semidecomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 310
2,56,1,Decomandat,Nou,499,1,1,1,Cluj,Cluj-Napoca,Apartament 311
1,32,1,Semidecomandat,Vechi,230,1,0,1,Cluj,Cluj-Napoca,Apartament 312
2,52,1,Decomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 313
3,71,2,Semidecomandat,Vechi,450,1,1,1,Cluj,Cluj-Napoca,Apartament 314
1,30,1,Decomandat,Nou,200,1,0,1,Cluj,Cluj-Napoca,Apartament 315
2,43,1,Semidecomandat,Vechi,250,1,0,1,Cluj,Cluj-Napoca,Apartament 316
2,42,1,Decomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 317
3,60,1,Decomandat,Nou,450,1,1,1,Cluj,Cluj-Napoca,Apartament 318
2,60,1,Semidecomandat,Nou,699,2,1,1,Cluj,Cluj-Napoca,Apartament 319
2,50,1,Semidecomandat,Nou,450,1,1,1,Cluj,Cluj-Napoca,Apartament 320
1,30,1,Semidecomandat,Vechi,370,1,1,1,Cluj,Cluj-Napoca,Apartament 321
2,60,1,Semidecomandat,Nou,650,1,1,1,Cluj,Cluj-Napoca,Apartament 322
2,90,1,Semidecomandat,Nou,750,2,2,1,Cluj,Cluj-Napoca,Apartament 323
2,55,1,Decomandat,Nou,600,2,1,1,Cluj,Cluj-Napoca,Apartament 324
2,52,1,Semidecomandat,Vechi,370,1,1,1,Cluj,Cluj-Napoca,Apartament 325
3,70,1,Semidecomandat,Vechi,450,1,1,1,Cluj,Cluj-Napoca,Apartament 326
2,65,1,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 327
3,58,1,Decomandat,Nou,590,2,1,1,Cluj,Cluj-Napoca,Apartament 328
2,50,1,Semidecomandat,Nou,330,1,0,1,Cluj,Cluj-Napoca,Apartament 329
3,75,1,Decomandat,Vechi,400,2,1,1,Cluj,Cluj-Napoca,Apartament 330
3,61,1,Semidecomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 331
3,70,2,Semidecomandat,Vechi,550,1,1,1,Cluj,Cluj-Napoca,Apartament 332
1,65,1,Semidecomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 333
2,85,2,Decomandat,Nou,550,1,1,1,Cluj,Cluj-Napoca,Apartament 334
1,22,1,Semidecomandat,Vechi,240,1,0,1,Cluj,Cluj-Napoca,Apartament 335
2,50,1,Decomandat,Vechi,320,1,0,1,Cluj,Cluj-Napoca,Apartament 336
2,54,1,Decomandat,Vechi,300,2,0,1,Cluj,Cluj-Napoca,Apartament 337
2,50,1,Semidecomandat,Nou,450,1,1,1,Cluj,Cluj-Napoca,Apartament 338
1,47,1,Decomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 339
3,64,1,Decomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 340
1,34,1,Semidecomandat,Vechi,220,1,0,1,Cluj,Cluj-Napoca,Apartament 341
1,48,1,Decomandat,Nou,350,1,1,1,Cluj,Cluj-Napoca,Apartament 342
3,70,1,Semidecomandat,Nou,475,2,1,1,Cluj,Cluj-Napoca,Apartament 343
2,45,1,Decomandat,Vechi,200,1,0,1,Cluj,Cluj-Napoca,Apartament 344
3,80,2,Semidecomandat,Nou,400,1,1,1,Cluj,Cluj-Napoca,Apartament 345
4,100,2,Decomandat,Vechi,470,1,1,1,Cluj,Cluj-Napoca,Apartament 346
1,40,1,Decomandat,Vechi,210,1,0,1,Cluj,Cluj-Napoca,Apartament 347
3,65,1,Semidecomandat,Nou,400,1,1,1,Cluj,Cluj-Napoca,Apartament 348
2,55,1,Semidecomandat,Nou,500,2,1,1,Cluj,Cluj-Napoca,Apartament 349
2,52,1,Decomandat,Vechi,320,1,0,1,Cluj,Cluj-Napoca,Apartament 350
2,50,1,Decomandat,Nou,450,1,1,1,Cluj,Cluj-Napoca,Apartament 351
3,61,1,Semidecomandat,Nou,500,1,1,1,Cluj,Cluj-Napoca,Apartament 352
3,57,1,Decomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 353
2,54,1,Decomandat,Vechi,250,1,0,1,Cluj,Cluj-Napoca,Apartament 354
1,30,1,Decomandat,Vechi,250,1,0,1,Cluj,Cluj-Napoca,Apartament 355
4,150,1,Semidecomandat,Nou,500,1,1,1,Cluj,Cluj-Napoca,Apartament 356
2,50,1,Semidecomandat,Vechi,430,1,1,1,Cluj,Cluj-Napoca,Apartament 357
3,85,2,Decomandat,Nou,1100,3,2,1,Cluj,Cluj-Napoca,Apartament 358
2,72,1,Decomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 359
3,64,1,Semidecomandat,Vechi,600,2,1,1,Cluj,Cluj-Napoca,Apartament 360
2,50,1,Semidecomandat,Nou,450,1,1,1,Cluj,Cluj-Napoca,Apartament 361
2,50,1,Semidecomandat,Nou,400,1,1,1,Cluj,Cluj-Napoca,Apartament 362
3,75,1,Decomandat,Nou,470,1,1,1,Cluj,Cluj-Napoca,Apartament 363
2,60,1,Semidecomandat,Nou,540,2,1,1,Cluj,Cluj-Napoca,Apartament 364
2,65,1,Semidecomandat,Nou,420,1,1,1,Cluj,Cluj-Napoca,Apartament 365
3,72,2,Decomandat,Vechi,450,1,1,1,Cluj,Cluj-Napoca,Apartament 366
2,58,1,Semidecomandat,Vechi,230,2,0,1,Cluj,Cluj-Napoca,Apartament 367
2,45,1,Decomandat,Nou,220,1,0,1,Cluj,Cluj-Napoca,Apartament 368
4,130,2,Semidecomandat,Nou,820,2,2,1,Cluj,Cluj-Napoca,Apartament 369
2,46,1,Semidecomandat,Nou,550,2,1,1,Cluj,Cluj-Napoca,Apartament 370
1,28,1,Decomandat,Vechi,200,1,0,1,Cluj,Cluj-Napoca,Apartament 371
2,55,1,Semidecomandat,Nou,550,2,1,1,Cluj,Cluj-Napoca,Apartament 372
1,30,1,Semidecomandat,Vechi,250,1,0,1,Cluj,Cluj-Napoca,Apartament 373
3,65,1,Semidecomandat,Nou,490,1,1,1,Cluj,Cluj-Napoca,Apartament 374
2,64,1,Semidecomandat,Vechi,330,1,0,1,Cluj,Cluj-Napoca,Apartament 375
2,64,1,Decomandat,Vechi,570,2,1,1,Cluj,Cluj-Napoca,Apartament 376
4,75,2,Decomandat,Vechi,450,2,1,1,Cluj,Cluj-Napoca,Apartament 377
1,30,1,Semidecomandat,Nou,350,1,1,1,Cluj,Cluj-Napoca,Apartament 378
2,57,1,Decomandat,Nou,520,1,1,1,Cluj,Cluj-Napoca,Apartament 379
2,60,1,Decomandat,Nou,350,1,1,1,Cluj,Cluj-Napoca,Apartament 380
1,48,1,Semidecomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 381
3,78,1,Decomandat,Nou,430,2,1,1,Cluj,Cluj-Napoca,Apartament 382
3,87,1,Decomandat,Vechi,390,1,1,1,Cluj,Cluj-Napoca,Apartament 383
1,35,1,Decomandat,Vechi,250,1,0,1,Cluj,Cluj-Napoca,Apartament 384
3,70,1,Semidecomandat,Vechi,360,2,1,1,Cluj,Cluj-Napoca,Apartament 385
2,50,1,Semidecomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 386
2,57,1,Decomandat,Nou,240,1,0,1,Cluj,Cluj-Napoca,Apartament 387
2,54,1,Semidecomandat,Nou,370,1,1,1,Cluj,Cluj-Napoca,Apartament 388
3,80,1,Decomandat,Vechi,400,2,1,1,Cluj,Cluj-Napoca,Apartament 389
2,52,1,Decomandat,Nou,300,1,0,1,Cluj,Cluj-Napoca,Apartament 390
3,77,1,Decomandat,Vechi,520,1,1,1,Cluj,Cluj-Napoca,Apartament 391
2,60,1,Decomandat,Vechi,280,1,0,1,Cluj,Cluj-Napoca,Apartament 392
2,54,1,Decomandat,Vechi,365,1,1,1,Cluj,Cluj-Napoca,Apartament 393
1,22,1,Semidecomandat,Nou,190,1,0,1,Cluj,Cluj-Napoca,Apartament 394
1,48,1,Decomandat,Nou,380,1,1,1,Cluj,Cluj-Napoca,Apartament 395
1,25,1,Semidecomandat,Vechi,200,1,0,1,Cluj,Cluj-Napoca,Apartament 396
2,60,1,Decomandat,Nou,499,1,1,1,Cluj,Cluj-Napoca,Apartament 397
2,76,1,Decomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 398
3,62,1,Semidecomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 399
1,22,1,Decomandat,Vechi,220,1,0,1,Cluj,Cluj-Napoca,Apartament 400
2,50,1,Semidecomandat,Vechi,350,2,1,1,Cluj,Cluj-Napoca,Apartament 401
4,80,2,Decomandat,Nou,550,1,1,1,Cluj,Cluj-Napoca,Apartament 402
3,70,2,Decomandat,Vechi,500,2,1,1,Cluj,Cluj-Napoca,Apartament 403
2,65,1,Decomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 404
2,56,1,Semidecomandat,Nou,499,1,1,1,Cluj,Cluj-Napoca,Apartament 405
3,70,2,Decomandat,Nou,400,1,1,1,Cluj,Cluj-Napoca,Apartament 406
3,81,2,Decomandat,Nou,650,1,1,1,Cluj,Cluj-Napoca,Apartament 407
3,65,1,Semidecomandat,Nou,450,2,1,1,Cluj,Cluj-Napoca,Apartament 408
3,65,1,Semidecomandat,Vechi,320,1,0,1,Cluj,Cluj-Napoca,Apartament 409
2,51,1,Semidecomandat,Nou,500,1,1,1,Cluj,Cluj-Napoca,Apartament 410
2,43,1,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 411
2,54,1,Semidecomandat,Nou,480,1,1,1,Cluj,Cluj-Napoca,Apartament 412
2,55,1,Semidecomandat,Nou,400,1,1,1,Cluj,Cluj-Napoca,Apartament 413
2,55,1,Decomandat,Nou,500,1,1,1,Cluj,Cluj-Napoca,Apartament 414
1,32,1,Semidecomandat,Nou,200,1,0,1,Cluj,Cluj-Napoca,Apartament 415
2,56,1,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 416
2,61,1,Semidecomandat,Vechi,430,1,1,1,Cluj,Cluj-Napoca,Apartament 417
4,80,2,Semidecomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 418
2,52,1,Semidecomandat,Vechi,330,1,0,1,Cluj,Cluj-Napoca,Apartament 419
1,27,1,Semidecomandat,Nou,275,1,0,1,Cluj,Cluj-Napoca,Apartament 420
2,45,1,Semidecomandat,Vechi,250,1,0,1,Cluj,Cluj-Napoca,Apartament 421
2,43,1,Semidecomandat,Nou,400,1,1,1,Cluj,Cluj-Napoca,Apartament 422
2,50,1,Decomandat,Nou,200,1,0,1,Cluj,Cluj-Napoca,Apartament 423
2,44,1,Decomandat,Vechi,230,1,0,1,Cluj,Cluj-Napoca,Apartament 424
2,50,1,Decomandat,Vechi,290,1,0,1,Cluj,Cluj-Napoca,Apartament 425
1,35,1,Semidecomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 426
3,93,1,Semidecomandat,Vechi,420,1,1,1,Cluj,Cluj-Napoca,Apartament 427
3,63,1,Semidecomandat,Nou,600,2,1,1,Cluj,Cluj-Napoca,Apartament 428
1,30,1,Decomandat,Vechi,250,1,0,1,Cluj,Cluj-Napoca,Apartament 429
3,60,1,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 430
2,65,1,Semidecomandat,Nou,550,1,1,1,Cluj,Cluj-Napoca,Apartament 431
2,55,1,Semidecomandat,Nou,380,1,1,1,Cluj,Cluj-Napoca,Apartament 432
1,37,1,Decomandat,Vechi,280,1,0,1,Cluj,Cluj-Napoca,Apartament 433
2,56,1,Semidecomandat,Nou,700,2,2,1,Cluj,Cluj-Napoca,Apartament 434
2,53,1,Semidecomandat,Nou,500,2,1,1,Cluj,Cluj-Napoca,Apartament 435
3,60,1,Decomandat,Nou,450,1,1,1,Cluj,Cluj-Napoca,Apartament 436
4,105,2,Semidecomandat,Nou,1200,1,2,1,Cluj,Cluj-Napoca,Apartament 437
2,61,1,Semidecomandat,Nou,420,2,1,1,Cluj,Cluj-Napoca,Apartament 438
4,110,2,Semidecomandat,Nou,1500,2,3,1,Cluj,Cluj-Napoca,Apartament 439
2,58,1,Decomandat,Nou,450,1,1,1,Cluj,Cluj-Napoca,Apartament 440
3,56,1,Semidecomandat,Nou,330,1,0,1,Cluj,Cluj-Napoca,Apartament 441
2,50,1,Decomandat,Nou,370,1,1,1,Cluj,Cluj-Napoca,Apartament 442
2,41,1,Semidecomandat,Nou,530,2,1,1,Cluj,Cluj-Napoca,Apartament 443
2,50,1,Decomandat,Vechi,390,1,1,1,Cluj,Cluj-Napoca,Apartament 444
3,60,1,Semidecomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 445
1,36,1,Decomandat,Vechi,320,1,0,1,Cluj,Cluj-Napoca,Apartament 446
1,36,1,Decomandat,Vechi,200,1,0,1,Cluj,Cluj-Napoca,Apartament 447
1,35,1,Decomandat,Nou,420,1,1,1,Cluj,Cluj-Napoca,Apartament 448
2,60,1,Semidecomandat,Nou,600,1,1,1,Cluj,Cluj-Napoca,Apartament 449
2,45,1,Semidecomandat,Vechi,450,1,1,1,Cluj,Cluj-Napoca,Apartament 450
3,55,1,Semidecomandat,Nou,380,1,1,1,Cluj,Cluj-Napoca,Apartament 451
1,30,1,Semidecomandat,Nou,400,1,1,1,Cluj,Cluj-Napoca,Apartament 452
3,65,2,Semidecomandat,Nou,700,1,2,1,Cluj,Cluj-Napoca,Apartament 453
2,48,1,Semidecomandat,Nou,450,1,1,1,Cluj,Cluj-Napoca,Apartament 454
3,85,2,Semidecomandat,Nou,1350,2,2,1,Cluj,Cluj-Napoca,Apartament 455
4,80,2,Decomandat,Vechi,450,1,1,1,Cluj,Cluj-Napoca,Apartament 456
1,30,1,Decomandat,Vechi,250,1,0,1,Cluj,Cluj-Napoca,Apartament 457
1,26,1,Decomandat,Vechi,250,1,0,1,Cluj,Cluj-Napoca,Apartament 458
2,78,1,Semidecomandat,Nou,590,2,1,1,Cluj,Cluj-Napoca,Apartament 459
2,45,1,Decomandat,Nou,220,1,0,1,Cluj,Cluj-Napoca,Apartament 460
2,77,1,Decomandat,Nou,500,2,1,1,Cluj,Cluj-Napoca,Apartament 461
2,40,1,Semidecomandat,Vechi,280,1,0,1,Cluj,Cluj-Napoca,Apartament 462
2,41,1,Semidecomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 463
1,45,1,Decomandat,Vechi,360,1,1,1,Cluj,Cluj-Napoca,Apartament 464
2,65,1,Semidecomandat,Vechi,500,2,1,1,Cluj,Cluj-Napoca,Apartament 465
2,47,1,Semidecomandat,Nou,350,1,1,1,Cluj,Cluj-Napoca,Apartament 466
2,40,1,Semidecomandat,Vechi,280,1,0,1,Cluj,Cluj-Napoca,Apartament 467
2,58,1,Decomandat,Nou,500,2,1,1,Cluj,Cluj-Napoca,Apartament 468
2,47,1,Semidecomandat,Nou,410,1,1,1,Cluj,Cluj-Napoca,Apartament 469
3,69,1,Decomandat,Vechi,280,1,0,1,Cluj,Cluj-Napoca,Apartament 470
3,71,1,Semidecomandat,Nou,400,1,1,1,Cluj,Cluj-Napoca,Apartament 471
2,67,1,Decomandat,Nou,500,1,1,1,Cluj,Cluj-Napoca,Apartament 472
3,100,2,Semidecomandat,Nou,725,2,2,1,Cluj,Cluj-Napoca,Apartament 473
2,64,1,Semidecomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 474
2,60,1,Semidecomandat,Nou,460,1,1,1,Cluj,Cluj-Napoca,Apartament 475
2,55,1,Semidecomandat,Vechi,550,1,1,1,Cluj,Cluj-Napoca,Apartament 476
2,42,1,Semidecomandat,Vechi,230,1,0,1,Cluj,Cluj-Napoca,Apartament 477
4,120,2,Semidecomandat,Nou,560,1,1,1,Cluj,Cluj-Napoca,Apartament 478
2,56,1,Semidecomandat,Nou,650,1,1,1,Cluj,Cluj-Napoca,Apartament 479
2,45,1,Decomandat,Nou,400,1,1,1,Cluj,Cluj-Napoca,Apartament 480
1,29,1,Semidecomandat,Vechi,290,1,0,1,Cluj,Cluj-Napoca,Apartament 481
2,57,1,Semidecomandat,Nou,275,2,0,1,Cluj,Cluj-Napoca,Apartament 482
2,54,1,Semidecomandat,Nou,300,1,0,1,Cluj,Cluj-Napoca,Apartament 483
2,70,1,Semidecomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 484
4,68,1,Semidecomandat,Nou,370,1,1,1,Cluj,Cluj-Napoca,Apartament 485
2,32,1,Semidecomandat,Vechi,220,1,0,1,Cluj,Cluj-Napoca,Apartament 486
2,47,1,Semidecomandat,Vechi,450,1,1,1,Cluj,Cluj-Napoca,Apartament 487
1,32,1,Semidecomandat,Nou,250,1,0,1,Cluj,Cluj-Napoca,Apartament 488
3,85,2,Semidecomandat,Nou,600,1,1,1,Cluj,Cluj-Napoca,Apartament 489
2,40,1,Semidecomandat,Vechi,250,1,0,1,Cluj,Cluj-Napoca,Apartament 490
2,55,1,Decomandat,Vechi,230,1,0,1,Cluj,Cluj-Napoca,Apartament 491
2,40,1,Semidecomandat,Nou,285,1,0,1,Cluj,Cluj-Napoca,Apartament 492
3,72,1,Decomandat,Nou,599,1,1,1,Cluj,Cluj-Napoca,Apartament 493
3,90,2,Semidecomandat,Nou,450,1,1,1,Cluj,Cluj-Napoca,Apartament 494
3,72,1,Semidecomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 495
3,67,2,Semidecomandat,Nou,550,1,1,1,Cluj,Cluj-Napoca,Apartament 496
3,85,1,Semidecomandat,Vechi,430,1,1,1,Cluj,Cluj-Napoca,Apartament 497
1,30,1,Semidecomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 498
3,60,1,Semidecomandat,Vechi,380,1,1,1,Cluj,Cluj-Napoca,Apartament 499
2,65,1,Decomandat,Nou,490,1,1,1,Cluj,Cluj-Napoca,Apartament 500
3,134,2,Decomandat,Nou,650,2,1,1,Cluj,Cluj-Napoca,Apartament 501
3,70,1,Semidecomandat,Nou,600,1,1,1,Cluj,Cluj-Napoca,Apartament 502
1,40,1,Semidecomandat,Nou,230,1,0,1,Cluj,Cluj-Napoca,Apartament 503
1,35,1,Decomandat,Nou,450,1,1,1,Cluj,Cluj-Napoca,Apartament 504
2,45,1,Decomandat,Nou,500,1,1,1,Cluj,Cluj-Napoca,Apartament 505
3,70,2,Decomandat,Nou,470,1,1,1,Cluj,Cluj-Napoca,Apartament 506
3,65,1,Semidecomandat,Nou,550,1,1,1,Cluj,Cluj-Napoca,Apartament 507
2,42,1,Semidecomandat,Nou,550,1,1,1,Cluj,Cluj-Napoca,Apartament 508
2,40,1,Semidecomandat,Nou,530,1,1,1,Cluj,Cluj-Napoca,Apartament 509
4,78,2,Decomandat,Vechi,340,1,0,1,Cluj,Cluj-Napoca,Apartament 510
3,110,2,Decomandat,Nou,570,1,1,1,Cluj,Cluj-Napoca,Apartament 511
1,32,1,Decomandat,Nou,300,1,0,1,Cluj,Cluj-Napoca,Apartament 512
2,72,2,Decomandat,Nou,800,2,2,1,Cluj,Cluj-Napoca,Apartament 513
3,90,1,Semidecomandat,Vechi,430,1,1,1,Cluj,Cluj-Napoca,Apartament 514
2,64,1,Decomandat,Nou,400,1,1,1,Cluj,Cluj-Napoca,Apartament 515
3,65,1,Semidecomandat,Nou,450,1,1,1,Cluj,Cluj-Napoca,Apartament 516
1,30,1,Semidecomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 517
2,45,1,Semidecomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 518
2,50,1,Semidecomandat,Nou,380,1,1,1,Cluj,Cluj-Napoca,Apartament 519
3,48,1,Semidecomandat,Nou,300,1,0,1,Cluj,Cluj-Napoca,Apartament 520
2,100,1,Semidecomandat,Nou,750,1,2,1,Cluj,Cluj-Napoca,Apartament 521
1,40,1,Decomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 522
1,32,1,Semidecomandat,Nou,300,1,0,1,Cluj,Cluj-Napoca,Apartament 523
1,24,1,Semidecomandat,Vechi,210,1,0,1,Cluj,Cluj-Napoca,Apartament 524
2,65,1,Semidecomandat,Nou,440,1,1,1,Cluj,Cluj-Napoca,Apartament 525
2,50,1,Decomandat,Nou,450,1,1,1,Cluj,Cluj-Napoca,Apartament 526
3,58,1,Decomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 527
2,55,1,Decomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 528
3,65,2,Decomandat,Nou,450,1,1,1,Cluj,Cluj-Napoca,Apartament 529
2,50,1,Decomandat,Nou,500,2,1,1,Cluj,Cluj-Napoca,Apartament 530
3,78,1,Decomandat,Vechi,500,1,1,1,Cluj,Cluj-Napoca,Apartament 531
1,28,1,Decomandat,Nou,200,1,0,1,Cluj,Cluj-Napoca,Apartament 532
3,106,1,Decomandat,Vechi,400,2,1,1,Cluj,Cluj-Napoca,Apartament 533
1,30,1,Decomandat,Vechi,210,1,0,1,Cluj,Cluj-Napoca,Apartament 534
2,50,1,Semidecomandat,Nou,250,1,0,1,Cluj,Cluj-Napoca,Apartament 535
3,70,2,Decomandat,Vechi,330,1,0,1,Cluj,Cluj-Napoca,Apartament 536
3,64,2,Semidecomandat,Vechi,390,1,1,1,Cluj,Cluj-Napoca,Apartament 537
2,52,1,Semidecomandat,Nou,230,1,0,1,Cluj,Cluj-Napoca,Apartament 538
2,47,1,Decomandat,Nou,450,1,1,1,Cluj,Cluj-Napoca,Apartament 539
2,52,1,Semidecomandat,Nou,800,1,2,1,Cluj,Cluj-Napoca,Apartament 540
2,80,2,Semidecomandat,Nou,500,2,1,1,Cluj,Cluj-Napoca,Apartament 541
1,30,1,Semidecomandat,Vechi,200,1,0,1,Cluj,Cluj-Napoca,Apartament 542
2,65,1,Decomandat,Nou,550,2,1,1,Cluj,Cluj-Napoca,Apartament 543
4,116,2,Semidecomandat,Nou,899,2,2,1,Cluj,Cluj-Napoca,Apartament 544
3,66,2,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 545
3,70,2,Decomandat,Vechi,450,2,1,1,Cluj,Cluj-Napoca,Apartament 546
2,46,1,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 547
2,56,1,Decomandat,Nou,300,1,0,1,Cluj,Cluj-Napoca,Apartament 548
3,112,2,Decomandat,Nou,780,1,2,1,Cluj,Cluj-Napoca,Apartament 549
2,41,1,Semidecomandat,Vechi,200,2,0,1,Cluj,Cluj-Napoca,Apartament 550
2,60,1,Semidecomandat,Nou,700,1,2,1,Cluj,Cluj-Napoca,Apartament 551
2,50,1,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 552
1,52,1,Decomandat,Vechi,370,1,1,1,Cluj,Cluj-Napoca,Apartament 553
3,72,1,Semidecomandat,Vechi,450,1,1,1,Cluj,Cluj-Napoca,Apartament 554
2,60,1,Decomandat,Nou,599,1,1,1,Cluj,Cluj-Napoca,Apartament 555
3,67,1,Decomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 556
2,56,1,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 557
2,60,1,Semidecomandat,Vechi,700,2,2,1,Cluj,Cluj-Napoca,Apartament 558
2,60,1,Decomandat,Vechi,420,1,1,1,Cluj,Cluj-Napoca,Apartament 559
3,80,2,Semidecomandat,Nou,750,1,2,1,Cluj,Cluj-Napoca,Apartament 560
2,52,1,Decomandat,Nou,220,2,0,1,Cluj,Cluj-Napoca,Apartament 561
2,50,1,Semidecomandat,Vechi,470,1,1,1,Cluj,Cluj-Napoca,Apartament 562
2,70,1,Decomandat,Vechi,430,1,1,1,Cluj,Cluj-Napoca,Apartament 563
2,52,1,Decomandat,Vechi,370,1,1,1,Cluj,Cluj-Napoca,Apartament 564
3,63,2,Decomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 565
6,145,2,Semidecomandat,Nou,1500,1,3,1,Cluj,Cluj-Napoca,Apartament 566
4,80,2,Decomandat,Vechi,500,1,1,1,Cluj,Cluj-Napoca,Apartament 567
2,60,1,Decomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 568
1,30,1,Semidecomandat,Nou,180,1,0,1,Cluj,Cluj-Napoca,Apartament 569
2,70,1,Decomandat,Vechi,420,1,1,1,Cluj,Cluj-Napoca,Apartament 570
2,70,1,Semidecomandat,Nou,699,2,1,1,Cluj,Cluj-Napoca,Apartament 571
1,30,1,Semidecomandat,Nou,300,1,0,1,Cluj,Cluj-Napoca,Apartament 572
2,60,1,Semidecomandat,Nou,650,1,1,1,Cluj,Cluj-Napoca,Apartament 573
3,71,1,Semidecomandat,Vechi,380,1,1,1,Cluj,Cluj-Napoca,Apartament 574
2,60,1,Decomandat,Vechi,300,2,0,1,Cluj,Cluj-Napoca,Apartament 575
1,28,1,Decomandat,Nou,320,1,0,1,Cluj,Cluj-Napoca,Apartament 576
2,45,1,Semidecomandat,Nou,330,1,0,1,Cluj,Cluj-Napoca,Apartament 577
2,60,2,Decomandat,Nou,500,1,1,1,Cluj,Cluj-Napoca,Apartament 578
2,50,1,Decomandat,Nou,170,1,0,1,Cluj,Cluj-Napoca,Apartament 579
2,50,1,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 580
2,52,1,Decomandat,Nou,400,1,1,1,Cluj,Cluj-Napoca,Apartament 581
