no_of_rooms,surface,no_of_bathrooms,partitioning,age,price,no_of_terraces,no_of_parking,user_id,city,county,title
3,73,2,Semidecomandat,Nou,800,2,2,1,Cluj,Cluj-Napoca,Apartament 66
1,26,1,Decomandat,Vechi,200,1,0,1,Cluj,Cluj-Napoca,Apartament 67
2,50,1,Semidecomandat,Vechi,450,2,1,1,Cluj,Cluj-Napoca,Apartament 68
3,75,1,Decomandat,Vechi,370,1,1,1,Cluj,Cluj-Napoca,Apartament 69
3,70,1,Semidecomandat,Nou,350,2,1,1,Cluj,Cluj-Napoca,Apartament 70
3,70,2,Decomandat,Vechi,380,2,1,1,Cluj,Cluj-Napoca,Apartament 71
2,52,1,Semidecomandat,Nou,500,1,1,1,Cluj,Cluj-Napoca,Apartament 72
1,42,1,Semidecomandat,Nou,350,1,1,1,Cluj,Cluj-Napoca,Apartament 73
2,42,1,Semidecomandat,Nou,460,2,1,1,Cluj,Cluj-Napoca,Apartament 74
1,17,1,Semidecomandat,Vechi,200,1,0,1,Cluj,Cluj-Napoca,Apartament 75
2,70,1,Semidecomandat,Nou,599,1,1,1,Cluj,Cluj-Napoca,Apartament 76
2,50,1,Decomandat,Vechi,350,2,1,1,Cluj,Cluj-Napoca,Apartament 77
2,60,1,Semidecomandat,Semidecomandat,350,1,1,1,Cluj,Cluj-Napoca,Apartament 78
1,40,1,Decomandat,Decomandat,225,1,0,1,Cluj,Cluj-Napoca,Apartament 79
4,94,2,Decomandat,Nou,500,2,1,1,Cluj,Cluj-Napoca,Apartament 80
2,50,1,Semidecomandat,Nou,400,1,1,1,Cluj,Cluj-Napoca,Apartament 81
3,180,2,Semidecomandat,Nou,999,2,2,1,Cluj,Cluj-Napoca,Apartament 82
3,71,2,Semidecomandat,Nou,580,1,1,1,Cluj,Cluj-Napoca,Apartament 83
3,72,2,Decomandat,Vechi,500,2,1,1,Cluj,Cluj-Napoca,Apartament 84
3,62,1,Semidecomandat,Nou,450,1,1,1,Cluj,Cluj-Napoca,Apartament 85
3,40,1,Semidecomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 86
5,170,2,Semidecomandat,Nou,650,1,1,1,Cluj,Cluj-Napoca,Apartament 87
2,50,1,Decomandat,Vechi,330,1,0,1,Cluj,Cluj-Napoca,Apartament 88
3,70,2,Decomandat,Vechi,470,2,1,1,Cluj,Cluj-Napoca,Apartament 89
3,80,1,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 90
3,71,1,Decomandat,Nou,430,2,1,1,Cluj,Cluj-Napoca,Apartament 91
1,30,1,Semidecomandat,Vechi,240,1,0,1,Cluj,Cluj-Napoca,Apartament 92
2,58,1,Decomandat,Nou,380,2,1,1,Cluj,Cluj-Napoca,Apartament 93
