web-scraper-order,web-scraper-start-url,apartamente,apartamente-href,no_of_rooms,surface,no_of_bathrooms,partitioning,price,no_of_terraces,cartier,title,age,user_id,city,county
1628179188-693,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=12,"Apartament cu 3 camere, modern, bloc nou, terasa 30 mp, pet friendly, parcare, zona Alverna",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-gheorgheni-blitz60769ai,3,80,2,Decomandat,450,1,Gheorgheni,"Apartament cu 3 camere, modern, bloc nou, terasa 30 mp, pet friendly, parcare, zona Alverna", Nou,1,Cluj,Cluj-Napoca
1628180064-1071,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=1,"Apartament 3 camere, 71mp, ultracentral, B-dul 21 Decembrie",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-central-blitz41031ai,3,71,1,Semidecomandat,450,0,Central,"Apartament 3 camere, 71mp, ultracentral, B-dul 21 Decembrie", Nou,1,Cluj,Cluj-Napoca
1628179561-854,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=7,"2 camere, 55 mp, parcare, terasa, totul nou, complex Viva City",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-gheorgheni-blitz63805ai,2,55,1,Semidecomandat,500,0,Gheorgheni,"2 camere, 55 mp, parcare, terasa, totul nou, complex Viva City", Nou,1,Cluj,Cluj-Napoca
1628179040-630,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=14,"2 camere, 65 mp, imobil nou, mobilat lux, parcare, zona strazii Decebal",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-central-blitz4608ai,2,65,1,Semidecomandat,550,1,Central,"2 camere, 65 mp, imobil nou, mobilat lux, parcare, zona strazii Decebal", Nou,1,Cluj,Cluj-Napoca
1628179081-647,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=13,"Apartament 2 camere, 50 mp, terasa 20 mp, parcare, zona strazii Mircea Eliade",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-zorilor-blitz48062ai,2,50,1,Semidecomandat,450,0,Zorilor,"Apartament 2 camere, 50 mp, terasa 20 mp, parcare, zona strazii Mircea Eliade", Nou,1,Cluj,Cluj-Napoca
1628179746-934,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=5,"2 camere, 50 mp, zona UMF",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-zorilor-blitz68870ai,2,50,1,Decomandat,450,1,Zorilor,"2 camere, 50 mp, zona UMF", Nou,1,Cluj,Cluj-Napoca
1628179981-1035,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=2,"Garsoniera, mobilata modern, parcare, cheltuieli incluse, zona Piata 14 Iulie",https://www.blitz.ro/cluj-napoca/garsoniera-inchiriat-grigorescu-blitz17479ai,1,35,1,Semidecomandat,350,0,Grigorescu,"Garsoniera, mobilata modern, parcare, cheltuieli incluse, zona Piata 14 Iulie", Nou,1,Cluj,Cluj-Napoca
1628179092-652,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=13,"Apartament de 2 camere, 45 mp, parcare, zona Ultra Centrala",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-central-blitz66370ai,2,45,1,Semidecomandat,430,1,Central,"Apartament de 2 camere, 45 mp, parcare, zona Ultra Centrala", Vechi,1,Cluj,Cluj-Napoca
1628179031-626,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=14,"Apartament impecabil,100 mp utili, zona Piata Mihai Viteazu",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-central-blitz28077ai,2,100,1,Semidecomandat,750,1,Central,"Apartament impecabil,100 mp utili, zona Piata Mihai Viteazu", Nou,1,Cluj,Cluj-Napoca
1628178948-590,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=15,Apartament cu 2 dormitoare in bloc nou la 2 minute de Iulius Mall!,https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-gheorgheni-blitz53876ai,3,57,1,Semidecomandat,550,1,Gheorgheni,Apartament cu 2 dormitoare in bloc nou la 2 minute de Iulius Mall!, Nou,1,Cluj,Cluj-Napoca
1628179338-758,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=10,"3 camere, 70 mp, decomandat, A.C., parcare, zona Kaufland",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-manastur-blitz27408ai,3,70,2,Decomandat,500,0,Manastur,"3 camere, 70 mp, decomandat, A.C., parcare, zona Kaufland", Vechi,1,Cluj,Cluj-Napoca
1628179323-751,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=10,"Apartament 2 camere, 58 mp, terasa 15 mp, zona Porii, parcare",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-floresti-blitz65781ai,2,58,1,Semidecomandat,200,0,Floresti,"Apartament 2 camere, 58 mp, terasa 15 mp, zona Porii, parcare", Nou,1,Cluj,Cluj-Napoca
1628179782-950,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=5,"Apartament cu 3 camere, parcare, 72 mp, zona strazii Mircea Eliade",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-zorilor-blitz68967ai,3,72,1,Semidecomandat,550,0,Zorilor,"Apartament cu 3 camere, parcare, 72 mp, zona strazii Mircea Eliade", Nou,1,Cluj,Cluj-Napoca
1628179108-659,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=13,"Apartament 2 camere, 60 mp, recent renovat, zona Iulius Mall",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-gheorgheni-blitz25406ai,2,60,1,Semidecomandat,350,1,Gheorgheni,"Apartament 2 camere, 60 mp, recent renovat, zona Iulius Mall", Vechi,1,Cluj,Cluj-Napoca
1628179845-977,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=4,"Apartament 2 camere, 43 mp, mobiliat modern, zona Calea Dorobantilor",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-marasti-blitz36462ai,2,43,1,Semidecomandat,350,0,Marasti,"Apartament 2 camere, 43 mp, mobiliat modern, zona Calea Dorobantilor", Nou,1,Cluj,Cluj-Napoca
1628179496-826,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=8,"Apartament 2 camere, 55 mp, parcare subterana, bloc nou, zona Piata Hermes",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-gheorgheni-blitz68489ai,2,55,1,Semidecomandat,550,1,Gheorgheni,"Apartament 2 camere, 55 mp, parcare subterana, bloc nou, zona Piata Hermes", Nou,1,Cluj,Cluj-Napoca
1628179857-982,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=4,"Apartament cu 1 cameră, în zona străzii Calea Turzii, 37mp.",https://www.blitz.ro/cluj-napoca/garsoniera-inchiriat-zorilor-blitz68037ai,1,37,1,Decomandat,280,1,Zorilor,"Apartament cu 1 cameră, în zona străzii Calea Turzii, 37mp.", Vechi,1,Cluj,Cluj-Napoca
1628179219-707,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=12,"Apartament 2 camere, 58 mp, parcare, imobil nou, zona strazii Paris",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-central-blitz56155ai,2,58,1,Decomandat,450,1,Central,"Apartament 2 camere, 58 mp, parcare, imobil nou, zona strazii Paris", Nou,1,Cluj,Cluj-Napoca
1628178905-572,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=16,"Apartament cu 3 camere, 85 mp, imobil nou, parcare subterana, terasa 40 mp, totul nou",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-buna-ziua-blitz15005ai,3,85,2,Semidecomandat,600,1,Buna Ziua,"Apartament cu 3 camere, 85 mp, imobil nou, parcare subterana, terasa 40 mp, totul nou", Nou,1,Cluj,Cluj-Napoca
1628180087-1081,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=1,"Apartament 3 camere, 75 mp, modern, zona Complex Platinia",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-central-blitz26004ai,3,75,2,Semidecomandat,830,1,Central,"Apartament 3 camere, 75 mp, modern, zona Complex Platinia", Nou,1,Cluj,Cluj-Napoca
1628179192-695,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=12,"3 camere, decomandat, Pet-Friendly, 70 mp, zona Fantanele",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-grigorescu-blitz63935ai,3,70,1,Decomandat,390,1,Grigorescu,"3 camere, decomandat, Pet-Friendly, 70 mp, zona Fantanele", Nou,1,Cluj,Cluj-Napoca
1628179027-624,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=14,"Apartament 2 camere, 70 mp, gradina, mobilat modern, zona Andrei Muresanu!",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-andrei-muresanu-blitz36269ai,2,70,1,Semidecomandat,650,0,Andrei Muresanu,"Apartament 2 camere, 70 mp, gradina, mobilat modern, zona Andrei Muresanu!", Nou,1,Cluj,Cluj-Napoca
1628179381-777,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=10,"Apartament 3 camere, 70 mp, decomandat, parcare, zona Transylvania College",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-gheorgheni-blitz62961ai,3,70,1,Decomandat,380,1,Gheorgheni,"Apartament 3 camere, 70 mp, decomandat, parcare, zona Transylvania College", Nou,1,Cluj,Cluj-Napoca
1628179140-673,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=13,"Apartament 3 camere, decomandat, 72 mp, Zona străzii G. Alexandrescu",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-manastur-blitz51700ai,3,70,1,Decomandat,400,1,Manastur,"Apartament 3 camere, decomandat, 72 mp, Zona străzii G. Alexandrescu", Nou,1,Cluj,Cluj-Napoca
1628179406-787,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=9,"Apartament 1 camera, 40 mp, zona Vivo!",https://www.blitz.ro/cluj-napoca/garsoniera-inchiriat-floresti-blitz67351ai,1,40,1,Semidecomandat,230,1,Floresti,"Apartament 1 camera, 40 mp, zona Vivo!", Nou,1,Cluj,Cluj-Napoca
1628179388-780,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=10,"2 camere, 57 mp, decomandat, garaj, imobil nou, mobilat modern, complex Platinia",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-central-blitz12985ai,2,57,1,Decomandat,520,1,Central,"2 camere, 57 mp, decomandat, garaj, imobil nou, mobilat modern, complex Platinia", Nou,1,Cluj,Cluj-Napoca
1628179624-882,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=7,"2 camere, decomandat, 64 mp, parcare, gradina, zona USAMV",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-manastur-blitz62319ai,2,64,1,Decomandat,420,0,Manastur,"2 camere, decomandat, 64 mp, parcare, gradina, zona USAMV", Nou,1,Cluj,Cluj-Napoca
1628179404-786,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=9,"Apartament 2 camere, 57 mp, decomandat, parcare, zona strazii Eroilor!",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-floresti-blitz34640ai,2,57,1,Decomandat,240,0,Floresti,"Apartament 2 camere, 57 mp, decomandat, parcare, zona strazii Eroilor!", Nou,1,Cluj,Cluj-Napoca
1628178860-552,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=16,"Apartament 2 camere, 40 mp, totul nou, zona Complex Diana",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-gheorgheni-blitz35860ai,2,40,1,Semidecomandat,285,0,Gheorgheni,"Apartament 2 camere, 40 mp, totul nou, zona Complex Diana", Nou,1,Cluj,Cluj-Napoca
1628178873-558,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=16,"Apartament 2 camere, 54 mp, etaj intermediar, zona Hotel Royal",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-gheorgheni-blitz29475ai,2,54,1,Semidecomandat,300,1,Gheorgheni,"Apartament 2 camere, 54 mp, etaj intermediar, zona Hotel Royal", Nou,1,Cluj,Cluj-Napoca
1628179334-756,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=10,"1 camera, 29 mp, pet friendly, zona strazii Brancusi",https://www.blitz.ro/cluj-napoca/garsoniera-inchiriat-gheorgheni-blitz62400ai,1,29,1,Semidecomandat,290,0,Gheorgheni,"1 camera, 29 mp, pet friendly, zona strazii Brancusi", Vechi,1,Cluj,Cluj-Napoca
1628178857-551,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=16,"Apartament 2 camere, 48 mp, mobilat modern, zona strazii Horea",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-central-blitz32927ai,2,48,1,Semidecomandat,450,0,Central,"Apartament 2 camere, 48 mp, mobilat modern, zona strazii Horea", Nou,1,Cluj,Cluj-Napoca
1628179622-881,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=7,Apartament cu 3 camere zona străzii Mehedinți,https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-manastur-blitz65000ai,3,57,1,Decomandat,300,0,Manastur,Apartament cu 3 camere zona străzii Mehedinți, Vechi,1,Cluj,Cluj-Napoca
1628179106-658,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=13,"Apartament cu 2 camere, decomandat, 56mp, totul nou, lux/modern, garaj, zona Aleea Godeanu",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-gheorgheni-blitz60676ai,2,56,1,Decomandat,500,1,Gheorgheni,"Apartament cu 2 camere, decomandat, 56mp, totul nou, lux/modern, garaj, zona Aleea Godeanu", Nou,1,Cluj,Cluj-Napoca
1628179559-853,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=7,"Apartament 1 camera, 40 mp, zona BMW!",https://www.blitz.ro/cluj-napoca/garsoniera-inchiriat-floresti-blitz40930ai,1,36,1,Decomandat,200,1,Floresti,"Apartament 1 camera, 40 mp, zona BMW!", Nou,1,Cluj,Cluj-Napoca
1628179868-987,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=4,"Apartament 2 camere semidecomandate, 50 mp + 2 balcoane, zona Câmpului",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-manastur-blitz67412ai,2,50,1,Semidecomandat,350,2,Manastur,"Apartament 2 camere semidecomandate, 50 mp + 2 balcoane, zona Câmpului", Nou,1,Cluj,Cluj-Napoca
1628179392-782,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=10,"Apartament 2 camere, 56 mp, parcare, balcon, zona strazii Albastrelelor",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-borhanci-blitz68307ai,2,56,1,Decomandat,350,1,Borhanci,"Apartament 2 camere, 56 mp, parcare, balcon, zona strazii Albastrelelor", Nou,1,Cluj,Cluj-Napoca
1628179260-724,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=11,"3 camere decomandate, 67 mp, parcare, zona Spitalului de Recuperare",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-zorilor-blitz61693ai,3,67,2,Decomandat,380,0,Zorilor,"3 camere decomandate, 67 mp, parcare, zona Spitalului de Recuperare", Vechi,1,Cluj,Cluj-Napoca
1628179967-1029,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=2,"Apartament cu 4 camere, 75 mp, zona strazii Aurel Vlaicu",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-4-camere-marasti-blitz32342ai,4,75,2,Decomandat,450,2,Marasti,"Apartament cu 4 camere, 75 mp, zona strazii Aurel Vlaicu", Vechi,1,Cluj,Cluj-Napoca
1628180103-1088,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=1,"Garsoniera decomandata, 30 mp, zona Manastur, pet friendly",https://www.blitz.ro/cluj-napoca/garsoniera-inchiriat-manastur-blitz67160ai,1,30,1,Decomandat,230,1,Manastur,"Garsoniera decomandata, 30 mp, zona Manastur, pet friendly", Vechi,1,Cluj,Cluj-Napoca
1628179694-912,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=6,"Apartament 2 camere, 40 mp, balcon, zona MC Donalds",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-manastur-blitz7924ai,2,40,1,Semidecomandat,250,1,Manastur,"Apartament 2 camere, 40 mp, balcon, zona MC Donalds", Vechi,1,Cluj,Cluj-Napoca
1628180084-1080,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=1,"Apartament 3 camere, 73 mp, terasa 28 mp, garaj, Grand Park Residence",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-gheorgheni-blitz40939ai,3,73,2,Semidecomandat,800,0,Gheorgheni,"Apartament 3 camere, 73 mp, terasa 28 mp, garaj, Grand Park Residence", Nou,1,Cluj,Cluj-Napoca
1628179352-764,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=10,"Apartament cu 3 camere decomandat, 69 de mp, loc de parcare, pet friendly, zona Bucium",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-manastur-blitz54504ai,3,69,1,Decomandat,400,1,Manastur,"Apartament cu 3 camere decomandat, 69 de mp, loc de parcare, pet friendly, zona Bucium", Vechi,1,Cluj,Cluj-Napoca
1628179908-1004,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=3,"Apartament modern de 2 camere, 65 mp, zona Plopilor",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-plopilor-blitz69030ai,2,65,1,Semidecomandat,440,1,Plopilor,"Apartament modern de 2 camere, 65 mp, zona Plopilor", Nou,1,Cluj,Cluj-Napoca
1628179503-829,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=8,"Apartament 2 camere, modern, 61 mp, prima inchiriere, parcare subterana, zona BMW!",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-floresti-blitz68501ai,2,61,1,Semidecomandat,430,0,Floresti,"Apartament 2 camere, modern, 61 mp, prima inchiriere, parcare subterana, zona BMW!", Nou,1,Cluj,Cluj-Napoca
1628179863-985,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=4,"Apartament lux, 3 camere, 65 mp, prima inchirire, loc de parcare, zona Vivo",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-manastur-blitz67429ai,3,65,1,Semidecomandat,490,1,Manastur,"Apartament lux, 3 camere, 65 mp, prima inchirire, loc de parcare, zona Vivo", Nou,1,Cluj,Cluj-Napoca
1628179217-706,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=12,"Garsoniera tip studio, 30 mp, imobil nou, zona strazii G.V.Bibescu",https://www.blitz.ro/cluj-napoca/garsoniera-inchiriat-zorilor-blitz59669ai,1,30,1,Semidecomandat,300,0,Zorilor,"Garsoniera tip studio, 30 mp, imobil nou, zona strazii G.V.Bibescu", Nou,1,Cluj,Cluj-Napoca
1628179386-779,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=10,"Apartament 2 camere, lux, totul nou, zona strazii Paris",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-central-blitz48216ai,2,50,1,Semidecomandat,550,1,Central,"Apartament 2 camere, lux, totul nou, zona strazii Paris", Nou,1,Cluj,Cluj-Napoca
1628179685-908,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=6,"Apartament de inchiriat cu 3 camere, 93 mp, zona Vivo",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-manastur-blitz62350ai,3,93,1,Semidecomandat,420,0,Manastur,"Apartament de inchiriat cu 3 camere, 93 mp, zona Vivo", Nou,1,Cluj,Cluj-Napoca
1628179760-940,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=5,"Garsoniera ultrafinisata, totul nou, 32 mp, zona Plopilor",https://www.blitz.ro/cluj-napoca/garsoniera-inchiriat-manastur-blitz68888ai,1,32,1,Decomandat,300,0,Manastur,"Garsoniera ultrafinisata, totul nou, 32 mp, zona Plopilor", Nou,1,Cluj,Cluj-Napoca
1628179045-632,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=14,"Apartament cu 3 camere, Pet Friendly, 77 mp, decomandat, zona Piata Marasti",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-marasti-blitz62774ai,3,77,2,Decomandat,400,2,Marasti,"Apartament cu 3 camere, Pet Friendly, 77 mp, decomandat, zona Piata Marasti", Vechi,1,Cluj,Cluj-Napoca
1628179893-997,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=3,"Apartament 2 camere, 52 mp, zona strazii Constantin Brancusi",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-gheorgheni-blitz34750ai,2,52,1,Semidecomandat,330,0,Gheorgheni,"Apartament 2 camere, 52 mp, zona strazii Constantin Brancusi", Vechi,1,Cluj,Cluj-Napoca
1628180012-1049,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=2,"Apartament cu 1 camera, decomandat, 38 mp, imobil nou, parcare, zona Sala Sporturilor",https://www.blitz.ro/cluj-napoca/garsoniera-inchiriat-manastur-blitz8396ai,1,38,1,Decomandat,300,0,Manastur,"Apartament cu 1 camera, decomandat, 38 mp, imobil nou, parcare, zona Sala Sporturilor", Nou,1,Cluj,Cluj-Napoca
1628179708-918,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=6,"2 camere decomandate, pet friendly, 54 mp, zona EXPO Transilvania",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-marasti-blitz61965ai,2,54,1,Decomandat,300,2,Marasti,"2 camere decomandate, pet friendly, 54 mp, zona EXPO Transilvania", Vechi,1,Cluj,Cluj-Napoca
1628179575-860,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=7,"Apartament cu 5 camere, 150 mp, scara interioara, zona 7 strazi",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-4-plus-camere-gruia-blitz66224ai,5,150,1,Semidecomandat,750,2,Gruia,"Apartament cu 5 camere, 150 mp, scara interioara, zona 7 strazi", Nou,1,Cluj,Cluj-Napoca
1628179099-655,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=13,"Apartament cu 2 camere, decomandat, 40 mp, in zona strazii Rovine",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-marasti-blitz51592ai,2,40,1,Decomandat,350,0,Marasti,"Apartament cu 2 camere, decomandat, 40 mp, in zona strazii Rovine", Vechi,1,Cluj,Cluj-Napoca
1628179136-671,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=13,"1 camera, decomandata, 33 mp, imobil nou, mobilat modern, parcare subterana, strada Romul Ladea",https://www.blitz.ro/cluj-napoca/garsoniera-inchiriat-gheorgheni-blitz14176ai,1,33,1,Decomandat,300,1,Gheorgheni,"1 camera, decomandata, 33 mp, imobil nou, mobilat modern, parcare subterana, strada Romul Ladea", Nou,1,Cluj,Cluj-Napoca
1628179832-971,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=4,"3 camere, decomandate, 76 mp, zona Dorobantilor",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-marasti-blitz30019ai,3,76,1,Decomandat,450,2,Marasti,"3 camere, decomandate, 76 mp, zona Dorobantilor", Vechi,1,Cluj,Cluj-Napoca
1628179987-1038,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=2,"4 camere, 150 mp, parcare, imobil nou, tip casa, mobilat modern",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-4-camere-someseni-blitz7985ai,4,150,1,Semidecomandat,500,1,Someseni,"4 camere, 150 mp, parcare, imobil nou, tip casa, mobilat modern", Vechi,1,Cluj,Cluj-Napoca
1628179918-1008,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=3,"Apartament cu 2 camere, decomandat, 50 mp, parcare optional, zona Casa Radio",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-grigorescu-blitz58918ai,2,50,1,Decomandat,320,1,Grigorescu,"Apartament cu 2 camere, decomandat, 50 mp, parcare optional, zona Casa Radio", Nou,1,Cluj,Cluj-Napoca
1628179665-899,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=6,"Spatiu de birou Ultracentral, 122 mp, constructie noua!",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-central-blitz63964ai,2,122,2,Semidecomandat,1000,0,Central,"Spatiu de birou Ultracentral, 122 mp, constructie noua!", Nou,1,Cluj,Cluj-Napoca
1628179584-864,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=7,"Apartament 2 camere decomandate, nemobilat, 45 mp, parcare, zona Stejarului!",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-floresti-blitz65718ai,2,45,1,Decomandat,200,1,Floresti,"Apartament 2 camere decomandate, nemobilat, 45 mp, parcare, zona Stejarului!", Nou,1,Cluj,Cluj-Napoca
1628179811-962,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=4,"3 camere, decomandat, 72 mp, zona Calea Floresti",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-manastur-blitz68351ai,3,72,2,Decomandat,450,1,Manastur,"3 camere, decomandat, 72 mp, zona Calea Floresti", Vechi,1,Cluj,Cluj-Napoca
1628179775-947,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=5,"Garsoniera decomandata, pet friendly, 32 mp, zona Iulius Mall, cartier Gheorgheni",https://www.blitz.ro/cluj-napoca/garsoniera-inchiriat-gheorgheni-blitz68955ai,1,32,1,Semidecomandat,200,0,Gheorgheni,"Garsoniera decomandata, pet friendly, 32 mp, zona Iulius Mall, cartier Gheorgheni", Nou,1,Cluj,Cluj-Napoca
1628178916-576,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=15,"Garsoniera 22 mp, renovata recent, zona Expo Transilvania",https://www.blitz.ro/cluj-napoca/garsoniera-inchiriat-marasti-blitz42029ai,1,22,1,Semidecomandat,190,0,Marasti,"Garsoniera 22 mp, renovata recent, zona Expo Transilvania", Nou,1,Cluj,Cluj-Napoca
1628179728-926,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=5,"Apartament de 2 camere, 53 mp, zona Eugen Ionescu",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-zorilor-blitz68784ai,2,53,1,Semidecomandat,300,0,Zorilor,"Apartament de 2 camere, 53 mp, zona Eugen Ionescu", Nou,1,Cluj,Cluj-Napoca
1628179865-986,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=4,"Apartament de 1 cameră, în zona Piata Flora",https://www.blitz.ro/cluj-napoca/garsoniera-inchiriat-manastur-blitz67427ai,1,25,1,Decomandat,250,0,Manastur,"Apartament de 1 cameră, în zona Piata Flora", Vechi,1,Cluj,Cluj-Napoca
1628180121-1096,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=1,"Apartament de 2 camere, open space, zona străzii Saturn.",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-baciu-blitz66877ai,2,50,1,Semidecomandat,300,1,Baciu,"Apartament de 2 camere, open space, zona străzii Saturn.", Nou,1,Cluj,Cluj-Napoca
1628179924-1011,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=3,"Apartament 1 camera, 48 mp, decomandat, zona Ultracentral",https://www.blitz.ro/cluj-napoca/garsoniera-inchiriat-central-blitz56122ai,1,48,1,Decomandat,380,0,Central,"Apartament 1 camera, 48 mp, decomandat, zona Ultracentral", Nou,1,Cluj,Cluj-Napoca
