web-scraper-order,web-scraper-start-url,apartamente,apartamente-href,no_of_rooms,surface,no_of_bathrooms,partitioning,price,no_of_terraces,cartier,title,age,user_id,city,county
1628179537-844,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=8,"Apartament de 2 camere, decomandat, etaj intermediar, 40 mp, zona strazii Mehedinti",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-manastur-blitz68597ai,2,40,1,Decomandat,300,1,Manastur,"Apartament de 2 camere, decomandat, etaj intermediar, 40 mp, zona strazii Mehedinti", Vechi,1,Cluj,Cluj-Napoca
1628179242-716,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=11,"Apartament 2 camere, 55 mp, zona Grand Hotel Italia",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-buna-ziua-blitz54000ai,2,55,1,Semidecomandat,450,1,Buna Ziua,"Apartament 2 camere, 55 mp, zona Grand Hotel Italia", Nou,1,Cluj,Cluj-Napoca
1628178955-593,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=15,"Apartamente 3 camere, 67 mp, prima inchiriere, zona Piata Zorilor",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-zorilor-blitz28464ai,3,67,1,Semidecomandat,650,2,Zorilor,"Apartamente 3 camere, 67 mp, prima inchiriere, zona Piata Zorilor", Vechi,1,Cluj,Cluj-Napoca
1628180005-1046,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=2,"Apartament 3 camere, decomandat, 65 mp, zona Fantanele",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-grigorescu-blitz52939ai,3,65,2,Decomandat,400,2,Grigorescu,"Apartament 3 camere, decomandat, 65 mp, zona Fantanele", Nou,1,Cluj,Cluj-Napoca
1628179555-852,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=8,"Apartament 2 camere, modern, parcare subterana, PET FRIENDLY!",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-floresti-blitz38495ai,2,43,1,Semidecomandat,250,1,Floresti,"Apartament 2 camere, modern, parcare subterana, PET FRIENDLY!", Nou,1,Cluj,Cluj-Napoca
1628179530-841,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=8,"Apartament cu 3 camere la prima inchiriere, 65 mp, parcare, zona strazii Buna Ziua",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-buna-ziua-blitz66069ai,3,65,1,Decomandat,460,0,Buna Ziua,"Apartament cu 3 camere la prima inchiriere, 65 mp, parcare, zona strazii Buna Ziua", Nou,1,Cluj,Cluj-Napoca
1628179456-809,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=9,"Apartament 3 camere, decomandat, 78 mp, zona strazii Slatina",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-marasti-blitz54391ai,3,78,1,Decomandat,430,2,Marasti,"Apartament 3 camere, decomandat, 78 mp, zona strazii Slatina", Nou,1,Cluj,Cluj-Napoca
1628179052-635,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=14,"Apartament cu 3 camere, totul nou, prima inchiriere, zona Grand Hotel Italia",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-buna-ziua-blitz62972ai,3,85,2,Semidecomandat,999,0,Buna Ziua,"Apartament cu 3 camere, totul nou, prima inchiriere, zona Grand Hotel Italia", Nou,1,Cluj,Cluj-Napoca
1628180003-1045,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=2,"Apartament 2 camere, 55 mp, garaj, totul nou, zona strazii Augustin Presecan",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-zorilor-blitz57122ai,2,55,1,Semidecomandat,490,1,Zorilor,"Apartament 2 camere, 55 mp, garaj, totul nou, zona strazii Augustin Presecan", Nou,1,Cluj,Cluj-Napoca
1628179972-1031,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=2,"Garsoniera 30 mp, garaj, zona Spitalului de Recuperare",https://www.blitz.ro/cluj-napoca/garsoniera-inchiriat-zorilor-blitz28167ai,1,30,1,Semidecomandat,240,1,Zorilor,"Garsoniera 30 mp, garaj, zona Spitalului de Recuperare", Vechi,1,Cluj,Cluj-Napoca
1628179843-976,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=4,"Apartament 2 camere, 52 mp, zona strazii Horea",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-central-blitz27055ai,2,52,1,Semidecomandat,400,1,Central,"Apartament 2 camere, 52 mp, zona strazii Horea", Vechi,1,Cluj,Cluj-Napoca
1628179269-728,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=11,Apartament cu o cameră zona străzii Micuș,https://www.blitz.ro/cluj-napoca/garsoniera-inchiriat-manastur-blitz65092ai,1,24,1,Decomandat,210,0,Manastur,Apartament cu o cameră zona străzii Micuș, Vechi,1,Cluj,Cluj-Napoca
1628179440-802,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=9,"Apartament 2 camere, 55 mp, totul nou, parcare subterana, Zona Gruia",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-gruia-blitz57716ai,2,55,1,Semidecomandat,400,0,Gruia,"Apartament 2 camere, 55 mp, totul nou, parcare subterana, Zona Gruia", Nou,1,Cluj,Cluj-Napoca
